team,teamInnings,inning,position,batsman,dismissal,runs,balls,M,4s,6s,SR,out/not_out,id
Namibia VS Sri Lanka,Namibia,Inning1,1,Michael van Lingen,c Pramod Madushan b Chameera,3,6,7,0,0,50.0,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,2,Divan la Cock,c Shanaka b Pramod Madushan,9,9,15,1,0,100.0,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,3,Jan Nicol Loftie-Eaton,c Mendis b Karunaratne,20,12,18,1,2,166.66,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,4,Stephan Baard,c DM de Silva b Pramod Madushan,26,24,49,2,0,108.33,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,5,Gerhard Erasmus(c),c Gunathilaka b PWH de Silva,20,24,30,0,0,83.33,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,6,Jan Frylinck,run out (Gunathilaka/Mendis),44,28,44,4,0,157.14,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,7,David Wiese,c Mendis b Theekshana,0,1,4,0,0,0.0,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,8,JJ Smit,not out,31,16,29,2,2,193.75,not out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,1,Pathum Nissanka,c Smit b Shikongo,9,10,16,1,0,90.0,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,2,Kusal Mendis,c Green b Wiese,6,6,8,0,0,100.0,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,3,Dhananjaya de Silva,c Shikongo b Frylinck,12,11,25,1,0,109.09,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,4,Danushka Gunathilaka,c Green b Shikongo,0,1,2,0,0,0.0,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,5,Bhanuka Rajapaksa,c la Cock b Scholtz,20,21,39,2,0,95.23,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,6,Dasun Shanaka(c),c Green b Frylinck,29,23,37,2,1,126.08,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,7,Wanindu Hasaranga de Silva,c Loftie-Eaton b Scholtz,4,8,9,0,0,50.0,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,8,Chamika Karunaratne,c Baard b Smit,5,8,15,0,0,62.5,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,9,Pramod Madushan,run out (van Lingen/Green),0,0,4,0,0,0.0,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,10,Dushmantha Chameera,c Erasmus b Wiese,8,15,20,0,0,53.33,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,11,Maheesh Theekshana,not out,11,11,14,0,1,100.0,not out,T20I # 1823
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,1,Chirag Suri,c Edwards b van der Merwe,12,20,28,1,0,60.0,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,2,Muhammad Waseem,c Pringle b Klaassen,41,47,71,1,2,87.23,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,3,Kashif Daud,b Pringle,15,14,19,0,1,107.14,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,4,Vriitya Aravind,c Klaassen b de Leede,18,21,37,0,0,85.71,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,5,Zawar Farid,run out (Ackermann/Edwards),2,4,8,0,0,50.0,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,6,Basil Hameed,c van der Merwe b de Leede,4,4,7,1,0,100.0,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,7,Chundangapoyil Rizwan(c),b de Leede,1,2,7,0,0,50.0,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,8,Aayan Afzal Khan,c Cooper b Klaassen,5,7,8,0,0,71.42,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,9,Karthik Meiyappan,not out,0,0,4,0,0,0.0,not out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,10,Junaid Siddique,not out,0,1,1,0,0,0.0,not out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,1,Vikramjit Singh,b Basil Hameed,10,7,8,2,0,142.85,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,2,Max O'Dowd,b Junaid Siddique,23,18,25,3,1,127.77,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,3,Bas de Leede,c Rizwan b Meiyappan,14,18,37,1,0,77.77,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,4,Colin Ackermann,c Junaid Siddique b Aayan Afzal Khan,17,19,33,1,0,89.47,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,5,Tom Cooper,lbw b Junaid Siddique,8,16,22,0,0,50.0,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,6,Scott Edwards(c),not out,16,19,42,0,0,84.21,not out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,7,Roelof van der Merwe,b Junaid Siddique,0,2,4,0,0,0.0,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,8,Tim Pringle,b Zahoor Khan,15,16,26,0,0,93.75,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,9,Logan van Beek,not out,4,4,7,0,0,100.0,not out,T20I # 1825
Scotland VS West Indies,Scotland,Inning1,1,George Munsey,not out,66,53,106,9,0,124.52,not out,T20I # 1826
Scotland VS West Indies,Scotland,Inning1,2,Michael Jones,b Holder,20,17,36,3,0,117.64,out,T20I # 1826
Scotland VS West Indies,Scotland,Inning1,3,Matthew Cross,c Brooks b Holder,3,5,10,0,0,60.0,out,T20I # 1826
Scotland VS West Indies,Scotland,Inning1,4,Richie Berrington(c),c Mayers b Joseph,16,14,21,0,1,114.28,out,T20I # 1826
Scotland VS West Indies,Scotland,Inning1,5,Calum MacLeod,c King b Smith,23,14,15,4,0,164.28,out,T20I # 1826
Scotland VS West Indies,Scotland,Inning1,6,Michael Leask,b Joseph,4,6,8,0,0,66.66,out,T20I # 1826
Scotland VS West Indies,Scotland,Inning1,7,Chris Greaves,not out,16,11,19,2,0,145.45,not out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,1,Kyle Mayers,c Munsey b Davey,20,13,12,3,1,153.84,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,2,Evin Lewis,c Jones b Wheal,14,13,30,1,1,107.69,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,3,Brandon King,b Watt,17,15,24,3,0,113.33,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,4,Nicholas Pooran(c),b Leask,5,9,14,0,0,55.55,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,5,Shamarh Brooks,c Leask b Wheal,4,9,24,0,0,44.44,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,6,Rovman Powell,c MacLeod b Leask,5,6,12,0,0,83.33,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,7,Jason Holder,c Greaves b Sharif,38,33,37,4,1,115.15,out,T20I # 1826
